qid,bm25,baseline,decomposition,yesno,iterative,iterative_pool,iterative_pool_rerank,steps
2hop__42027_42004,0.5,0.0,0.0,0.0,0.5,0.5,0.5,2
2hop__502852_75487,0.5,0.5,0.5,1.0,0.5,0.5,0.5,2
2hop__29873_679424,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__17455_21567,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__31326_31270,0.0,0.5,0.0,0.5,0.5,0.5,0.5,2
2hop__29368_29376,0.5,0.5,0.5,0.5,0.0,0.0,0.0,3
2hop__826864_17335,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__632161_643449,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__307218_161450,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__13106_158105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__92385_2072,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__422295_8311,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__58939_213732,0.0,0.5,0.5,0.5,0.5,0.5,0.0,3
2hop__603365_120259,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__250030_7298,0.0,0.5,0.5,0.5,0.5,1.0,0.5,3
2hop__61714_52026,0.0,0.5,0.0,0.0,0.0,0.5,0.5,3
2hop__293131_110222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__622637_120171,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__52283_75184,0.5,1.0,0.5,0.5,0.5,0.5,0.5,2
2hop__168816_144857,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__75207_53316,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
2hop__27650_27628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__358270_108549,0.0,0.0,0.5,0.5,0.5,0.5,0.5,2
2hop__697729_576069,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__434218_29905,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__347686_127399,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__29606_600504,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__678516_179720,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__34595_160249,0.0,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__596188_297986,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__256336_714772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__92051_827343,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2
2hop__151455_120171,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__68162_482364,0.5,0.5,0.0,0.5,0.5,0.5,0.5,2
2hop__6827_86319,0.0,0.5,0.5,0.0,0.5,0.5,0.5,2
